customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
5954-BDFSG,72,Yes,Two year,Yes,Credit card (automatic),107.5,No
0434-CSFON,47,Yes,Month-to-month,Yes,Electronic check,100.5,No
1215-FIGMP,60,Yes,Month-to-month,Yes,Bank transfer (automatic),89.9,No
0526-SXDJP,72,No,Two year,No,Bank transfer (automatic),42.1,No
0557-ASKVU,18,Yes,One year,Yes,Credit card (automatic),54.4,No
5698-BQJOH,9,Yes,Month-to-month,No,Electronic check,94.4,Yes
5122-CYFXA,3,Yes,Month-to-month,Yes,Electronic check,75.3,No
8627-ZYGSZ,47,Yes,One year,Yes,Electronic check,78.9,No
3410-YOQBQ,31,Yes,Two year,No,Mailed check,79.2,No
3170-NMYVV,50,Yes,Two year,No,Bank transfer (automatic),20.15,No
7410-OIEDU,10,Yes,Month-to-month,Yes,Mailed check,79.85,No
2273-QCKXA,1,Yes,Month-to-month,No,Mailed check,49.05,No
0731-EBJQB,52,Yes,One year,Yes,Electronic check,20.4,No
1891-QRQSA,64,Yes,Two year,Yes,Bank transfer (automatic),111.6,No
8028-PNXHQ,62,Yes,Two year,Yes,Bank transfer (automatic),24.25,No
5630-AHZIL,3,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,No
2673-CXQEU,56,Yes,One year,No,Electronic check,110.5,No
6416-JNVRK,46,Yes,One year,No,Credit card (automatic),55.65,No
5590-ZSKRV,8,Yes,Month-to-month,No,Mailed check,54.65,No
0191-ZHSKZ,30,Yes,Month-to-month,Yes,Electronic check,74.75,No
3887-PBQAO,45,Yes,One year,Yes,Credit card (automatic),25.9,No
5919-TMRGD,1,Yes,Month-to-month,Yes,Electronic check,79.35,Yes
8108-UXRQN,11,No,Month-to-month,No,Electronic check,50.55,No
9191-MYQKX,7,Yes,Month-to-month,Yes,Bank transfer (automatic),75.15,Yes
9919-YLNNG,42,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,No
0318-ZOPWS,49,Yes,Two year,Yes,Bank transfer (automatic),20.15,No
4445-ZJNMU,9,Yes,Month-to-month,Yes,Credit card (automatic),99.3,No
4808-YNLEU,35,Yes,One year,Yes,Bank transfer (automatic),62.15,No
1862-QRWPE,48,Yes,Two year,No,Bank transfer (automatic),20.65,No
2796-NNUFI,46,Yes,Two year,Yes,Mailed check,19.95,No
3016-KSVCP,29,No,Month-to-month,No,Mailed check,33.75,No
4767-HZZHQ,30,Yes,Month-to-month,No,Bank transfer (automatic),82.05,No
2424-WVHPL,1,Yes,Month-to-month,No,Electronic check,74.7,No
7233-PAHHL,66,Yes,Two year,Yes,Mailed check,84,No
6067-NGCEU,65,Yes,Month-to-month,Yes,Credit card (automatic),111.05,No
9848-JQJTX,72,Yes,Two year,Yes,Bank transfer (automatic),100.9,No
8637-XJIVR,12,Yes,Month-to-month,Yes,Electronic check,78.95,Yes
9803-FTJCG,71,Yes,One year,Yes,Credit card (automatic),66.85,No
0278-YXOOG,5,Yes,Month-to-month,No,Mailed check,21.05,Yes
3212-KXOCR,52,Yes,Two year,No,Bank transfer (automatic),21,No
4598-XLKNJ,25,Yes,Month-to-month,Yes,Electronic check,98.5,Yes
6380-ARCEH,1,Yes,Month-to-month,No,Mailed check,20.2,No
3679-XASPY,1,Yes,Month-to-month,No,Electronic check,19.45,No
7123-WQUHX,38,Yes,One year,No,Bank transfer (automatic),95,No
5386-THSLQ,66,No,One year,No,Bank transfer (automatic),45.55,No
3192-NQECA,68,Yes,Two year,Yes,Bank transfer (automatic),110,Yes
6180-YBIQI,5,No,Month-to-month,No,Mailed check,24.3,No
6728-DKUCO,72,Yes,One year,Yes,Electronic check,104.15,No
9750-BOOHV,32,No,One year,No,Mailed check,30.15,No
8597-CWYHH,43,Yes,One year,No,Mailed check,94.35,No
2848-YXSMW,72,Yes,Two year,No,Credit card (automatic),19.4,No
0486-HECZI,55,Yes,Month-to-month,Yes,Electronic check,96.75,Yes
4549-ZDQYY,52,Yes,One year,No,Credit card (automatic),57.95,No
5712-AHQNN,43,Yes,Month-to-month,Yes,Electronic check,91.65,No
4846-WHAFZ,37,Yes,Month-to-month,Yes,Electronic check,76.5,Yes
5256-SKJGO,64,No,Two year,Yes,Electronic check,54.6,No
3071-VBYPO,3,Yes,Month-to-month,No,Electronic check,89.85,No
9560-BBZXK,36,No,Two year,No,Bank transfer (automatic),31.05,No
5299-RULOA,10,Yes,Month-to-month,Yes,Electronic check,100.25,Yes
8402-OOOHJ,41,Yes,Two year,No,Mailed check,20.65,No
9445-ZUEQE,27,Yes,Month-to-month,Yes,Credit card (automatic),85.2,No
1091-SOZGA,56,Yes,One year,Yes,Credit card (automatic),99.8,No
2928-HLDBA,6,Yes,Month-to-month,No,Mailed check,20.7,No
0404-SWRVG,3,Yes,Month-to-month,Yes,Electronic check,74.4,Yes
6497-TILVL,7,Yes,Month-to-month,No,Mailed check,50.7,No
7219-TLZHO,4,Yes,Month-to-month,No,Mailed check,20.85,No
4622-YNKIJ,33,Yes,Two year,Yes,Electronic check,88.95,No
4412-YLTKF,27,Yes,Month-to-month,Yes,Electronic check,78.05,Yes
6734-PSBAW,72,Yes,Two year,Yes,Bank transfer (automatic),23.55,No
3930-ZGWVE,1,Yes,Month-to-month,No,Mailed check,19.75,No
2639-UGMAZ,71,No,One year,Yes,Electronic check,56.45,No
2876-GZYZC,13,Yes,Month-to-month,Yes,Electronic check,85.95,No
6207-WIOLX,25,No,Month-to-month,Yes,Credit card (automatic),58.6,Yes
8587-XYZSF,67,Yes,Two year,No,Bank transfer (automatic),50.55,No
3091-FYHKI,1,No,Month-to-month,Yes,Electronic check,35.45,Yes
2372-HWUHI,2,Yes,Month-to-month,No,Electronic check,44.35,Yes
7799-LGRDP,43,Yes,Two year,Yes,Credit card (automatic),25.7,No
7850-VWJUU,23,Yes,Month-to-month,Yes,Bank transfer (automatic),75,No
3774-VBNXY,64,Yes,Two year,No,Mailed check,20.2,No
6217-KDYWC,57,Yes,Two year,Yes,Mailed check,19.6,No
0390-DCFDQ,1,Yes,Month-to-month,Yes,Mailed check,70.45,Yes
3146-MSEGF,72,Yes,Two year,Yes,Credit card (automatic),88.05,No
4080-OGPJL,8,Yes,Month-to-month,No,Electronic check,71.15,Yes
1095-WGNGG,61,Yes,Two year,Yes,Bank transfer (automatic),101.05,No
2636-SJDOU,64,Yes,One year,Yes,Credit card (automatic),84.3,No
1131-QQZEB,71,Yes,Two year,No,Bank transfer (automatic),23.95,No
5716-EZXZN,65,Yes,Two year,Yes,Credit card (automatic),99.05,No
6837-BJYDQ,3,Yes,One year,No,Mailed check,19.6,No
2135-RXIHG,1,Yes,Month-to-month,Yes,Electronic check,45.65,Yes
6440-DKQGE,30,Yes,One year,No,Credit card (automatic),64.5,No
3466-BYAVD,15,Yes,Month-to-month,Yes,Mailed check,69.5,No
3780-YVMFA,8,Yes,Month-to-month,Yes,Electronic check,68.55,No
3874-EQOEP,7,Yes,Month-to-month,No,Mailed check,95,Yes
1679-JRFBR,70,Yes,One year,Yes,Credit card (automatic),108.15,No
9073-ZZIAY,62,Yes,Two year,No,Electronic check,86.1,No
3077-RSNTJ,6,Yes,Month-to-month,No,Mailed check,19.7,No
6551-GNYDG,14,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,No
9167-APMXZ,22,Yes,Month-to-month,Yes,Bank transfer (automatic),84.15,No
2749-CTKAJ,22,Yes,One year,No,Mailed check,20.15,No
6371-NZYEG,16,Yes,Two year,No,Mailed check,64.25,No
7554-NEWDD,10,Yes,Two year,No,Bank transfer (automatic),25.7,No
8992-VONJD,13,Yes,Month-to-month,Yes,Electronic check,56,No
0867-MKZVY,20,Yes,Month-to-month,No,Electronic check,82.4,Yes
4482-EWFMI,2,Yes,Month-to-month,Yes,Electronic check,69.7,No
4648-YPBTM,53,Yes,Two year,Yes,Bank transfer (automatic),73.9,No
2907-ILJBN,11,Yes,One year,No,Mailed check,20.6,No
6345-FZOQH,69,Yes,Two year,No,Mailed check,19.9,No
3376-BMGFE,4,Yes,Month-to-month,Yes,Bank transfer (automatic),70.9,Yes
5997-OPVFA,72,Yes,Two year,Yes,Bank transfer (automatic),89.05,No
3445-HXXGF,58,No,Month-to-month,Yes,Electronic check,45.3,Yes
1159-WFSGR,16,Yes,Month-to-month,No,Electronic check,20.4,No
7654-YWJUF,43,Yes,One year,Yes,Bank transfer (automatic),84.25,No
1875-QIVME,2,Yes,Month-to-month,Yes,Electronic check,104.4,Yes
6727-IOTLZ,14,Yes,Two year,No,Mailed check,81.95,No
0691-JVSYA,53,Yes,One year,Yes,Bank transfer (automatic),94.85,Yes
5918-VUKWP,32,Yes,One year,No,Bank transfer (automatic),20.55,No
1744-JHKYS,34,Yes,Month-to-month,No,Electronic check,24.7,No
2656-FMOKZ,15,Yes,Month-to-month,Yes,Mailed check,74.45,Yes
2070-FNEXE,7,Yes,Month-to-month,No,Bank transfer (automatic),76.45,Yes
5947-SGKCL,15,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,No
3712-PKXZA,61,Yes,One year,Yes,Credit card (automatic),20.55,No
6317-YPKDH,1,No,Month-to-month,No,Bank transfer (automatic),29.95,Yes
6582-OIVSP,1,Yes,Month-to-month,No,Mailed check,45.3,No
9367-WXLCH,8,Yes,Month-to-month,No,Bank transfer (automatic),84.5,Yes
5524-KHNJP,33,Yes,One year,No,Credit card (automatic),74.75,No
1918-ZBFQJ,13,Yes,Month-to-month,Yes,Electronic check,79.25,Yes
1024-GUALD,1,No,Month-to-month,Yes,Electronic check,24.8,Yes
4827-USJHP,20,Yes,Month-to-month,Yes,Mailed check,51.8,No
8167-GJLRN,3,No,Month-to-month,No,Electronic check,30.4,No
0956-SYCWG,13,Yes,One year,No,Electronic check,19.65,No
8017-UVSZU,40,Yes,Month-to-month,No,Credit card (automatic),56.6,No
7100-FQPRV,43,Yes,One year,Yes,Credit card (automatic),71.9,No
2472-OVKUP,6,Yes,Month-to-month,Yes,Electronic check,91,Yes
2984-RGEYA,69,Yes,Two year,No,Bank transfer (automatic),19.75,No
9680-NIAUV,72,Yes,Two year,No,Credit card (automatic),109.7,No
2146-EGVDT,59,Yes,Two year,No,Credit card (automatic),19.3,No
2604-IJPDU,20,Yes,Month-to-month,Yes,Electronic check,96.55,No
9178-JHUVJ,24,Yes,Two year,Yes,Bank transfer (automatic),24.1,No
6168-YBYNP,59,Yes,Month-to-month,Yes,Electronic check,111.35,No
7255-SSFBC,72,Yes,Two year,Yes,Bank transfer (automatic),112.25,No
3645-DEYGF,1,Yes,Month-to-month,No,Mailed check,20.75,No
9323-HGFWY,27,Yes,One year,Yes,Credit card (automatic),101.9,No
8544-GOQSH,14,Yes,Month-to-month,Yes,Credit card (automatic),80.05,No
3363-DTIVD,71,Yes,Two year,No,Electronic check,105.55,No
7018-WBJNK,13,Yes,Month-to-month,Yes,Credit card (automatic),78.3,No
9142-KZXOP,44,Yes,Month-to-month,No,Credit card (automatic),68.85,No
7674-YTAFD,33,Yes,One year,Yes,Bank transfer (automatic),79.95,No
6348-SNFUS,72,No,Two year,Yes,Credit card (automatic),55.45,No
1285-OKIPP,1,Yes,Month-to-month,No,Electronic check,79.9,Yes
7825-ECJRF,19,Yes,Month-to-month,Yes,Electronic check,106.6,Yes
1347-KTTTA,64,Yes,One year,Yes,Credit card (automatic),102.45,No
7841-TZDMQ,2,Yes,Month-to-month,Yes,Credit card (automatic),46,Yes
4195-NZGTA,1,No,Month-to-month,No,Electronic check,25.25,No
7157-SMCFK,61,Yes,Two year,No,Mailed check,19.75,No
4709-LKHYG,29,Yes,One year,No,Electronic check,20,No
2504-DSHIH,23,Yes,Month-to-month,No,Electronic check,86.8,No
0699-NDKJM,57,No,Month-to-month,Yes,Bank transfer (automatic),58.75,No
9286-BHDQG,72,No,Two year,No,Credit card (automatic),45.25,No
0230-WEQUW,66,No,Two year,Yes,Bank transfer (automatic),56.6,No
2040-LDIWQ,65,Yes,Two year,Yes,Bank transfer (automatic),84.2,No
6496-JDSSB,8,Yes,Month-to-month,Yes,Bank transfer (automatic),80,No
9408-SSNVZ,4,Yes,Month-to-month,Yes,Electronic check,70.15,Yes
4443-EMBNA,71,Yes,Two year,No,Bank transfer (automatic),24.75,No
6469-MRVET,1,Yes,One year,Yes,Electronic check,20.2,No
0742-MOABM,4,Yes,Month-to-month,No,Mailed check,50.05,Yes
5961-VUSRV,12,Yes,One year,Yes,Bank transfer (automatic),19.35,No
6778-JFCMK,24,No,One year,Yes,Mailed check,50.6,No
6341-JVQGF,31,Yes,One year,Yes,Mailed check,81.15,No
2232-DMLXU,1,Yes,Month-to-month,No,Mailed check,55.2,Yes
4811-JBUVU,30,Yes,Month-to-month,Yes,Credit card (automatic),89.9,No
0945-TSONX,47,Yes,Two year,Yes,Credit card (automatic),85.3,No
2651-ZCBXV,54,Yes,Two year,Yes,Credit card (automatic),108,No
3316-UWXUY,50,Yes,Month-to-month,Yes,Credit card (automatic),93.5,No
8937-RDTHP,1,Yes,Month-to-month,Yes,Mailed check,84.6,Yes
7083-MIOPC,72,Yes,Two year,No,Credit card (automatic),20.25,No
1984-GPTEH,29,Yes,Month-to-month,No,Electronic check,25.15,No
1251-KRREG,2,Yes,Month-to-month,Yes,Mailed check,54.4,Yes
0621-JFHOL,10,No,Two year,Yes,Mailed check,29.6,No
9903-LYSAB,18,Yes,Month-to-month,Yes,Electronic check,73.15,No
0094-OIFMO,11,Yes,Month-to-month,Yes,Electronic check,95,Yes
9227-UAQFT,16,Yes,Two year,No,Mailed check,19.75,No
7301-ABVAD,72,Yes,Two year,No,Bank transfer (automatic),86.6,No
6614-FHDBO,72,Yes,Two year,No,Bank transfer (automatic),109.2,No
7576-ASEJU,41,Yes,One year,Yes,Credit card (automatic),74.7,No
9058-HRZSV,65,Yes,Month-to-month,No,Electronic check,94.4,No
4522-AKYLR,13,Yes,Month-to-month,Yes,Electronic check,54.8,No
0221-WMXNQ,4,Yes,Month-to-month,No,Electronic check,75.35,No
0303-UNCIP,41,Yes,One year,No,Mailed check,65,No
9947-OTFQU,15,Yes,Month-to-month,Yes,Electronic check,74.4,Yes
0322-YINQP,1,Yes,Month-to-month,Yes,Mailed check,48.55,Yes
0959-WHOKV,42,Yes,One year,Yes,Electronic check,99,No
4075-JFPGR,51,Yes,One year,Yes,Electronic check,93.5,No
4629-NRXKX,2,Yes,Month-to-month,No,Electronic check,70.4,Yes
9514-JDSKI,1,No,Month-to-month,No,Electronic check,40.2,Yes
3282-ZISZV,32,Yes,One year,No,Credit card (automatic),83.7,No
3675-YDUPJ,10,Yes,Month-to-month,Yes,Mailed check,19.85,No
4111-BNXIF,67,No,Two year,Yes,Electronic check,59.55,No
7017-VFHAY,61,Yes,Two year,No,Credit card (automatic),115.1,No
6655-LHBYW,50,Yes,One year,No,Credit card (automatic),114.35,No
4959-JOSRX,2,Yes,Month-to-month,Yes,Credit card (automatic),44.6,Yes
5046-NUHWD,29,No,Month-to-month,Yes,Electronic check,45,No
7273-TEFQD,3,No,Month-to-month,Yes,Electronic check,41.15,Yes
3606-TWKGI,13,Yes,Month-to-month,Yes,Electronic check,106.9,Yes
7529-ZDFXI,57,Yes,Month-to-month,Yes,Electronic check,89.85,No
7605-BDWDC,31,No,Two year,Yes,Bank transfer (automatic),49.85,No
1950-KSVVJ,45,Yes,One year,No,Mailed check,113.3,No
0123-CRBRT,61,Yes,Two year,No,Mailed check,88.1,No
6292-TOSSS,50,Yes,Two year,No,Bank transfer (automatic),24.9,No
3197-ARFOY,19,Yes,Month-to-month,Yes,Mailed check,105,No
6323-AYBRX,59,Yes,Two year,No,Mailed check,19.35,Yes
7014-ZZXAW,71,Yes,Two year,Yes,Credit card (automatic),24.25,No
4385-GZQXV,16,Yes,Month-to-month,Yes,Electronic check,94.45,Yes
7633-MVPUY,57,Yes,Two year,Yes,Electronic check,59.75,No
6366-ZGQGL,1,No,Month-to-month,No,Bank transfer (automatic),24.8,Yes
4716-HHKQH,20,Yes,Month-to-month,No,Electronic check,107.05,No
5940-AHUHD,1,Yes,Month-to-month,No,Mailed check,70.6,Yes
6432-TWQLB,5,Yes,Month-to-month,Yes,Electronic check,85.4,Yes
4484-GLZOU,52,Yes,Month-to-month,Yes,Electronic check,105.05,Yes
3179-GBRWV,21,Yes,Month-to-month,Yes,Bank transfer (automatic),64.95,No
8645-KWHJO,14,No,Month-to-month,Yes,Electronic check,55,No
4130-MZLCC,5,Yes,Month-to-month,No,Bank transfer (automatic),50.55,No
0314-TKOSI,6,Yes,Month-to-month,No,Mailed check,55.15,No
8229-MYEJZ,10,Yes,Month-to-month,No,Electronic check,51.2,No
2080-SRCDE,1,Yes,Month-to-month,No,Mailed check,25.4,No
9577-WJVCQ,68,Yes,Month-to-month,No,Mailed check,54.45,No
9512-UIBFX,18,Yes,Month-to-month,No,Mailed check,95.15,Yes
6202-DYYFX,22,Yes,One year,Yes,Credit card (automatic),76,No
3808-HFKDE,20,Yes,Month-to-month,Yes,Electronic check,44.35,No
5583-SXDAG,1,Yes,Month-to-month,No,Electronic check,70,Yes
3488-PGMQJ,8,Yes,Month-to-month,Yes,Electronic check,74.5,Yes
3580-REOAC,10,Yes,Month-to-month,Yes,Credit card (automatic),44.85,Yes
7534-BFESC,24,Yes,Month-to-month,Yes,Electronic check,76.1,Yes
3727-OWVYD,35,Yes,One year,No,Mailed check,61.2,No
2294-SALNE,23,Yes,One year,No,Mailed check,86.8,No
4847-TAJYI,6,Yes,Month-to-month,Yes,Electronic check,89.35,No
1563-IWQEX,12,Yes,Month-to-month,No,Mailed check,19.7,No
8203-XJZRC,1,Yes,Month-to-month,No,Mailed check,20.25,No
6556-DBKZF,71,Yes,Two year,No,Electronic check,76.05,No
6851-WEFYX,35,Yes,Month-to-month,Yes,Electronic check,100.8,No
2985-JUUBZ,40,Yes,Month-to-month,Yes,Electronic check,74.55,No
6390-DSAZX,1,Yes,Month-to-month,Yes,Mailed check,73.6,Yes
0895-LMRSF,23,Yes,One year,Yes,Bank transfer (automatic),64.9,No
8098-LLAZX,4,Yes,Month-to-month,Yes,Electronic check,95.45,Yes
8266-VBFQL,4,Yes,Month-to-month,Yes,Electronic check,90.4,No
8181-YHCMF,68,No,Two year,No,Credit card (automatic),60.3,No
2240-HSJQD,38,Yes,Month-to-month,Yes,Mailed check,81.85,No
1248-DYXUB,52,Yes,Two year,No,Mailed check,24.8,No
0265-EDXBD,32,Yes,Month-to-month,Yes,Electronic check,74.9,Yes
4115-BNPJY,29,Yes,Two year,No,Mailed check,75.55,No
3167-SNQPL,38,Yes,Month-to-month,No,Electronic check,101.15,No
4091-TVOCN,48,Yes,One year,Yes,Credit card (automatic),78.75,No
1098-TDVUQ,1,Yes,Month-to-month,Yes,Bank transfer (automatic),19.25,No
7277-OZCGZ,22,Yes,Month-to-month,Yes,Electronic check,89.05,No
1557-EMYVT,43,Yes,Two year,No,Credit card (automatic),115.05,No
2799-ARNLO,5,Yes,Month-to-month,Yes,Electronic check,69.35,No
7563-BIUPC,5,Yes,Month-to-month,Yes,Electronic check,80.6,Yes
5027-YOCXN,51,Yes,One year,No,Credit card (automatic),110.05,No
3973-SKMLN,71,Yes,Two year,Yes,Credit card (automatic),19.9,No
2321-OMBXY,38,Yes,One year,No,Credit card (automatic),80.3,Yes
2840-XANRC,24,Yes,Month-to-month,Yes,Electronic check,93.15,Yes
6745-JEFZB,35,Yes,Month-to-month,Yes,Credit card (automatic),91.5,No
5020-ZSTTY,54,Yes,One year,No,Bank transfer (automatic),82.45,Yes
9880-TDQAC,72,No,Two year,Yes,Electronic check,60,No
8705-WZCYL,1,Yes,Month-to-month,Yes,Electronic check,44.8,No
7102-JJVTX,9,Yes,One year,No,Mailed check,48.6,No
8626-PTQGE,69,No,Two year,Yes,Bank transfer (automatic),60.05,No
4983-CLMLV,52,Yes,Month-to-month,Yes,Credit card (automatic),102.7,No
5701-YVSVF,11,Yes,Month-to-month,Yes,Electronic check,82.9,No
5804-LEPIM,2,Yes,Month-to-month,Yes,Electronic check,70.35,Yes
5697-GOMBF,28,No,Month-to-month,Yes,Electronic check,35.9,No
2739-CACDQ,17,Yes,Month-to-month,Yes,Credit card (automatic),82.65,No
9385-EHGDO,35,Yes,Two year,Yes,Mailed check,19.85,No
9498-FIMXL,8,Yes,One year,Yes,Mailed check,19.2,No
2379-GYFLQ,46,Yes,One year,Yes,Credit card (automatic),94.9,No
0122-OAHPZ,7,Yes,Month-to-month,Yes,Electronic check,73.85,Yes
2868-SNELZ,2,Yes,Month-to-month,No,Mailed check,80.6,Yes
4322-RCYMT,68,Yes,One year,Yes,Bank transfer (automatic),75.8,Yes
6680-NENYN,43,Yes,Two year,Yes,Electronic check,104.6,Yes
2088-IEBAU,68,Yes,Two year,Yes,Electronic check,88.15,No
7982-VCELR,36,Yes,Month-to-month,Yes,Credit card (automatic),94.8,No
1343-EHPYB,63,Yes,Month-to-month,Yes,Electronic check,103.4,Yes
6035-BXTTY,32,Yes,Month-to-month,No,Bank transfer (automatic),54.65,No
6885-PKOAM,71,Yes,Two year,No,Credit card (automatic),85.75,No
7520-HQWJU,66,Yes,Month-to-month,Yes,Bank transfer (automatic),67.45,No
9639-BUJXT,63,Yes,One year,No,Mailed check,20.5,No
5924-SNGKP,41,Yes,One year,Yes,Credit card (automatic),20.25,No
0021-IKXGC,1,Yes,Month-to-month,Yes,Electronic check,72.1,No
2034-GDRCN,2,Yes,Month-to-month,Yes,Electronic check,90.4,Yes
8966-SNIZF,70,Yes,Two year,No,Bank transfer (automatic),19.45,No
6243-OZGFH,23,No,Month-to-month,Yes,Electronic check,44.95,No
4654-DLAMQ,64,Yes,One year,No,Bank transfer (automatic),97,No
0513-RBGPE,37,Yes,Two year,Yes,Credit card (automatic),62.8,No
5160-UXJED,17,Yes,One year,No,Mailed check,44.6,No
4115-NZRKS,7,Yes,Month-to-month,Yes,Electronic check,89.15,No
0219-YTZUE,4,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,Yes
0623-IIHUG,21,No,Month-to-month,Yes,Electronic check,41.9,Yes
4572-DVCGN,10,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,Yes
3351-NGXYI,16,Yes,Month-to-month,Yes,Electronic check,54.1,No
8984-EYLLL,64,Yes,Two year,Yes,Electronic check,105.25,No
9057-MSWCO,27,No,Month-to-month,No,Credit card (automatic),30.75,Yes
9833-TGFHX,42,Yes,One year,No,Electronic check,97.1,No
9294-TDIPC,5,Yes,Month-to-month,No,Mailed check,20.2,No
5229-DTFYB,41,Yes,Two year,Yes,Bank transfer (automatic),98.8,No
0104-PPXDV,58,Yes,One year,No,Credit card (automatic),50.3,No
5176-LMJXE,47,Yes,Two year,Yes,Mailed check,20.55,No
3583-KRKMD,18,Yes,Month-to-month,Yes,Bank transfer (automatic),75.9,No
1010-DIAUQ,5,Yes,Month-to-month,No,Bank transfer (automatic),96.5,Yes
9069-LGEUL,23,Yes,Month-to-month,Yes,Bank transfer (automatic),59.95,No
7302-ZHMHP,1,Yes,Month-to-month,No,Mailed check,19.15,No
9571-EDEBV,71,Yes,One year,Yes,Credit card (automatic),98.65,No
